propinsi,kemitraan,umur,gender,sumber_benih,kud,kelompok
SUMATERA BARAT,0,41,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,32,1,0,0,0
SUMATERA BARAT,0,48,1,0,0,0
SUMATERA BARAT,0,37,1,0,0,0
SUMATERA BARAT,0,50,2,1,0,0
SUMATERA BARAT,0,43,1,0,0,0
SUMATERA BARAT,0,44,1,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
SUMATERA BARAT,0,41,1,0,0,0
SUMATERA BARAT,0,22,1,0,0,0
SUMATERA BARAT,0,52,1,0,0,0
SUMATERA BARAT,0,51,1,0,0,0
SUMATERA BARAT,0,45,1,0,0,0
SUMATERA BARAT,0,49,2,0,0,0
SUMATERA BARAT,0,55,1,0,0,0
SUMATERA BARAT,0,47,1,1,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,31,1,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
SUMATERA BARAT,0,43,1,0,0,0
SUMATERA BARAT,0,34,1,0,0,0
SUMATERA BARAT,1,42,1,0,0,0
SUMATERA BARAT,0,46,1,0,0,0
SUMATERA BARAT,0,48,1,0,0,0
SUMATERA BARAT,0,44,1,0,0,0
SUMATERA BARAT,0,43,1,0,0,0
SUMATERA BARAT,0,46,2,0,0,0
SUMATERA BARAT,0,61,1,0,0,0
SUMATERA BARAT,0,52,1,0,0,0
SUMATERA BARAT,0,37,1,0,0,0
SUMATERA BARAT,0,47,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,50,1,0,0,0
SUMATERA BARAT,0,63,1,0,0,0
SUMATERA BARAT,0,50,1,0,0,0
SUMATERA BARAT,0,52,2,0,0,0
SUMATERA BARAT,0,28,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,45,2,1,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,26,1,0,0,0
SUMATERA BARAT,0,51,1,0,0,0
SUMATERA BARAT,0,47,2,0,0,0
SUMATERA BARAT,0,47,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,46,1,0,0,0
SUMATERA BARAT,0,42,1,0,0,0
SUMATERA BARAT,0,36,1,0,0,0
SUMATERA BARAT,0,44,1,0,0,0
SUMATERA BARAT,0,52,1,0,0,0
SUMATERA BARAT,0,52,2,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,35,1,0,0,0
SUMATERA BARAT,0,43,1,1,0,0
SUMATERA BARAT,0,26,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,35,1,0,0,0
SUMATERA BARAT,0,53,1,0,0,0
SUMATERA BARAT,0,40,2,0,0,0
SUMATERA BARAT,0,36,1,0,0,0
SUMATERA BARAT,0,39,1,0,0,0
SUMATERA BARAT,0,50,1,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
SUMATERA BARAT,0,37,1,0,0,0
SUMATERA BARAT,0,26,1,0,0,0
SUMATERA BARAT,0,60,1,0,0,0
SUMATERA BARAT,0,41,2,0,0,0
SUMATERA BARAT,0,57,2,0,0,0
SUMATERA BARAT,0,62,2,0,0,0
SUMATERA BARAT,0,51,1,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
SUMATERA BARAT,0,46,1,0,0,0
SUMATERA BARAT,0,38,1,1,0,1
SUMATERA BARAT,0,35,2,1,0,0
SUMATERA BARAT,0,29,1,0,0,0
SUMATERA BARAT,0,42,1,0,0,0
SUMATERA BARAT,0,62,1,0,0,0
SUMATERA BARAT,0,33,1,0,0,0
SUMATERA BARAT,0,34,1,0,0,1
SUMATERA BARAT,1,41,1,0,0,0
SUMATERA BARAT,0,45,1,0,0,0
SUMATERA BARAT,0,26,1,0,0,0
SUMATERA BARAT,0,48,1,1,0,0
SUMATERA BARAT,0,35,2,0,0,0
SUMATERA BARAT,0,55,2,0,0,0
SUMATERA BARAT,0,50,2,0,0,0
SUMATERA BARAT,0,33,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,50,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,40,1,0,0,0
SUMATERA BARAT,0,30,1,0,0,0
SUMATERA BARAT,0,38,1,0,0,0
